Country,Year,GDP,FC,Population,Area,PopDen
Tanzania,2017,976.2122192,329757,56267032,939588,59.88479206
Tanzania,2018,1010.937622,329064,58090443,939588,61.82544158
Tanzania,2019,1052.021729,345623,59872579,939588,63.72216227
Tanzania,2020,1042.09668,399406,61704518,939588,65.6718881
Tanzania,2021,1099.287598,417677,63588334,939588,67.67682644
Tanzania,2022,,337298,65497748,939588,69.70900863
Uganda,2013,819.7578809,110444,35273570,241495,146.0633553
Uganda,2014,897.5097424,85280,36336539,241495,150.4649744
Uganda,2015,864.1800623,107649,37477356,241495,155.1889522
Uganda,2016,753.6844086,126334,38748299,241495,160.451765
Uganda,2017,766.1776058,92696,40127085,241495,166.1611421
Uganda,2018,793.1280811,90092,41515395,241495,171.9099567
Uganda,2019,823.1389505,59450,42949080,241495,177.8466635
Uganda,2020,846.7672013,81773,44404611,241495,183.8738318
Uganda,2021,883.8920323,84093,45853778,241495,189.8746475
Uganda,2022,,57946,47249585,241495,195.6545063
